Response ID,Timestamp(ddmmyy/hhmm),[MyInfo] Name,NRIC/FIN,[MyInfo] Gender,[MyInfo] Date of birth(ddmmyy),[MyInfo] Race,Mobile number,Which camp are you from?,Which company (COY) are you from?,Which Platoon are you from?,Which section are you from?,What is your bed no?,Date of Outbreak declared,Did you experience any symptoms?,Did you experience fever?,What is the earliest onset date of your symptoms,What is the earliest onset time of your symptoms,What was the highest recorded temperature,Did you experience vomiting?,How many times did you vomit?,Did you experience diarrhoea?,Please indicate the most number of episodes that you have experience diarrhoea in 24 hours,descripe the colour of your loose stools,Did you experience nausea?,Did you experience abdominal pain?,Did you experience headache?,Other symptoms,Were you unwell with GE symptoms (diarrhoea/vomiting) in the past 2 weeks?,What is the earliest date you had diarrhoea / vomitting in the past 2 weeks,Has any of your household members experience GE illness within the week?,What is the date of the symptom onset for your household members?,Please indicate the number of household members that experienced diarrhoea/vomiting after your symptom onset,Do you have household members who were unwell with diarrhoea/vomiting symptoms in the past 2 weeks before your symptoms onset?,Do you have any friends/colleagues who were unwell with diarrhoea/vomiting symptoms in the past 2 weeks before your symptoms onset?,When did household members / friends / colleagues experience diarrhoea/ vomiting in the past 2 weeks?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal.1,What time did you have your meal?.1,What did you eat?.1,Please indicate where you took your meal.2,What time did you have your meal?.2,What did you eat?.2,Please indicate where you took your meal.3,What time did you have your meal?.3,What did you eat?.3,Please indicate where you took your meal.4,What time did you have your meal?.4,What did you eat?.4,Please indicate where you took your meal.5,What time did you have your meal?.5,What did you eat?.5,Please indicate where you took your meal.6,What time did you have your meal?.6,What did you eat?.6,Please indicate where you took your meal.7,What time did you have your meal?.7,What did you eat?.7,Please indicate where you took your meal.8,What time did you have your meal?.8,What did you eat?.8,Please indicate where you took your meal.9,What time did you have your meal?.9,What did you eat?.9,Please indicate where you took your meal.10,What time did you have your meal?.10,What did you eat?.10,Please indicate where you took your meal.11,What time did you have your meal?.11,What did you eat?.11,Please indicate where you took your meal.12,What time did you have your meal?.12,What did you eat?.12,Please indicate where you took your meal.13,What time did you have your meal?.13,What did you eat?.13,Please indicate where you took your meal.14,What time did you have your meal?.14,What did you eat?.14,Please indicate where you took your meal.15,What time did you have your meal?.15,What did you eat?.15,Please indicate where you took your meal.16,What time did you have your meal?.16,What did you eat?.16,Please indicate where you took your meal.17,What time did you have your meal?.17,What did you eat?.17,Please indicate where you took your meal.18,What time did you have your meal?.18,What did you eat?.18,Please indicate where you took your meal.19,What time did you have your meal?.19,What did you eat?.19,Please indicate where you took your meal.20,What time did you have your meal?.20,What did you eat?.20,Please indicate where you took your meal.21,What time did you have your meal?.21,What did you eat?.21,Please indicate where you took your meal.22,What time did you have your meal?.22,What did you eat?.22,Please indicate where you took your meal.23,What time did you have your meal?.23,What did you eat?.23,sgID Validated NRIC,[MyInfo] Date of birth
N2MonDohGTD4DYgHZ6sATRYi,160124/1254,lPhxoJpeIO,t0x,f,31-May-88,malay,88150548,Airforce Training Command,3,1,4,9,170124,no,Yes,1-Jan-24,1600HR,38.9,Yes,6,Yes,12,Red,Yes,Yes,No,nan,Yes,28-Dec-23,Yes,2-Jan-24,7,Yes,Yes,1-Jan-24,Did not consume,0735,Canteen Drinks & Snacks + tea,Blk 456,1220,Muslim - Set A  + cordial,Blk 456,1730,Non-Muslim - Special Menu + cordial,nan,0705,Out-ration (Non-Muslim) ,nan,1205,Vegetarian  + cordial,Blk 456,1835,Vegetarian  + ice water,Blk 123,0615,Out-ration (Muslim),Blk 456,1115,Muslim - Set A  + ice water,Blk 456,1745,Muslim - Special Menu + ice water,Blk 456,0735,Outside food/drinks (includes take-outs and home food) + tea,Blk 123,1130,Muslim - Set B + cordial,Blk 123,1730,Out-ration (Vegetarian) ,Blk 123,0705,Canteen Food - Muslim  + coffee,Blk 456,1220,Non-Muslim - Special Menu + cordial,Blk 456,1745,Muslim - Set A  + ice water,Blk 456,0750,Non-Muslim - Set A  + tea,Blk 456,1250,Non-Muslim - Special Menu + ice water,Blk 123,1715,Out-ration (Muslim),Blk 123,0720,Muslim - Set A  + coffee,Blk 456,1145,Outside food/drinks (includes take-outs and home food) + ice water,Blk 456,1835,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,Blk 456,0750,Non-Muslim - Set A  + ice water,Blk 456,1115,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,Blk 456,1835,Muslim - Set B + cordial,t0x,15/July/1999
epL2CfqlGnLxxARYbcBn12ov,160124/0701,YZZaGKdnht,t1x,f,0,indian,98460290,Gombak Base,3,1,2,13,170124,no,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Did not consume,0615,Outside food/drinks (includes take-outs and home food) + tea,0,1100,Out-ration (Vegetarian) ,0,1805,Canteen Drinks & Snacks + cordial,0.0,0705,Muslim - Special Menu + ice water,0.0,1235,Muslim - Special Menu + cordial,0,1730,Non-Muslim - Special Menu + cordial,0,0630,Non-Muslim - Set A  + ice water,0,1100,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1730,Out-ration (Non-Muslim) ,0,0645,Did not consume cookhouse / canteen / out-ration,0,1250,Did not consume cookhouse / canteen / out-ration,0,1715,Muslim - Set A  + ice water,0,0645,Out-ration (Non-Muslim) ,0,1115,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1715,Muslim - Special Menu + ice water,0,0630,Muslim - Set B + ice water,0,1220,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1715,Canteen Food - Muslim  + cordial,0,0720,Out-ration (Muslim),0,1235,Out-ration (Muslim),0,1835,Canteen Food - Non-Muslim + ice water,0,0720,Outside food/drinks (includes take-outs and home food) + tea,0,1235,Non-Muslim - Special Menu + cordial,0,1820,Canteen Food - Muslim  + ice water,t1x,16/October/2002
3htcHbTpb9EMGM9bIm2yHhz3,150124/1125,lfZprJnhzX,t2x,f,0,malay,88753603,7 Ammo Depot,1,4,2,9,160124,no,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Blk 123,0735,Canteen Food - Muslim  + tea,0,1220,Vegetarian  + cordial,0,1715,Canteen Food - Muslim  + cordial,0.0,0600,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + coffee,0.0,1250,Non-Muslim - Set B + ice water,0,1715,Outside food/drinks (includes take-outs and home food) + cordial,0,0645,Out-ration (Non-Muslim) ,0,1220,Did not consume cookhouse / canteen / out-ration,0,1745,Canteen Food - Non-Muslim + ice water,0,0750,Canteen Food - Muslim  + tea,0,1220,Canteen Food - Non-Muslim + cordial,0,1745,Vegetarian  + cordial,0,0735,Non-Muslim - Set B + tea,0,1145,Muslim - Set B + cordial,0,1835,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,0705,Muslim - Set A  + ice water,0,1145,Out-ration (Vegetarian) ,0,1820,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,0735,Muslim - Set A  + tea,0,1235,Canteen Food - Muslim  + cordial,0,1805,Non-Muslim - Special Menu + cordial,0,0750,Outside food/drinks (includes take-outs and home food) + ice water,0,1100,Muslim - Set A  + cordial,0,1715,Non-Muslim - Set A  + ice water,t2x,17/September/2004
wlAimiEpE6hS4uSnEpdsxevB,170124/0839,lgtfSrOGwM,t3x,m,0,malay,81627054,Rifle Range,3,2,1,5,170124,no,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Blk 123,0720,Non-Muslim - Set A  + tea,0,1235,Canteen Food - Non-Muslim + ice water,0,1835,Muslim - Set A  + cordial,0.0,0735,Out-ration (Muslim),0.0,1220,Muslim - Special Menu + ice water,0,1700,Out-ration (Non-Muslim) ,0,0720,Out-ration (Non-Muslim) ,0,1250,Canteen Food - Non-Muslim + ice water,0,1835,Muslim - Special Menu + ice water,0,0750,Out-ration (Muslim),0,1220,Did not consume cookhouse / canteen / out-ration,0,1745,Vegetarian  + ice water,0,0615,Canteen Food - Muslim  + coffee,0,1145,Outside food/drinks (includes take-outs and home food) + cordial,0,1805,Out-ration (Vegetarian) ,0,0720,Out-ration (Non-Muslim) ,0,1205,Canteen Food - Non-Muslim + cordial,0,1700,Non-Muslim - Special Menu + ice water,0,0705,Out-ration (Vegetarian) ,0,1235,Muslim - Set B + ice water,0,1745,Canteen Drinks & Snacks + cordial,0,0750,Muslim - Set A  + coffee,0,1235,Muslim - Set A  + cordial,0,1805,Did not consume cookhouse / canteen / out-ration,t3x,18/November/1999
l7BDiwKExSiQGL8zM1yjxCUh,160124/1440,eSNGtvAtkF,t4x,m,0,indian,94148941,Chong Pang Camp,3,2,1,13,170124,yes,yes,130124,600,38.7,yes,7,yes,2,Green,no,yes,no,no,yes,2,yes,90124,1,no,yes,120124,Did not consume,0750,Out-ration (Non-Muslim) ,0,1220,Canteen Food - Non-Muslim + ice water,0,1745,Vegetarian  + cordial,0.0,0750,Muslim - Set B + coffee,0.0,1130,Out-ration (Muslim),0,1850,Non-Muslim - Special Menu + cordial,0,0705,Canteen Food - Muslim  + ice water,0,1205,Muslim - Set B + cordial,0,1850,Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,0720,Muslim - Special Menu + ice water,0,1220,Non-Muslim - Set A  + ice water,0,1835,Out-ration (Non-Muslim) ,0,0750,Did not consume cookhouse / canteen / out-ration,0,1100,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1820,Non-Muslim - Special Menu + ice water,0,0630,Canteen Drinks & Snacks + tea,0,1235,Non-Muslim - Special Menu + cordial,0,1850,Vegetarian  + ice water,0,0645,Out-ration (Non-Muslim) ,0,1250,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1835,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,0630,Muslim - Set B + tea,0,1250,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1715,Out-ration (Vegetarian) ,t4x,7/September/2004
eq5e7D46Qebasoo4aPNucubh,160124/1335,EtSFxQDlXe,t5x,m,0,others,84710438,Bedok,1,3,3,11,150124,yes,yes,100124,1600,38.8,yes,3,yes,1,Green,no,yes,no,no,no,3,yes,110124,2,yes,yes,110124,Blk 123,0720,Out-ration (Muslim),0,1115,Non-Muslim - Set B + ice water,0,1805,Canteen Drinks & Snacks + cordial,0.0,0615,Non-Muslim - Special Menu + tea,0.0,1205,Muslim - Set B + ice water,0,1715,Outside food/drinks (includes take-outs and home food) + ice water,0,0630,Canteen Food - Non-Muslim + ice water,0,1235,Out-ration (Vegetarian) ,0,1820,Muslim - Special Menu + ice water,0,0615,Did not consume cookhouse / canteen / out-ration,0,1130,Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1835,Out-ration (Muslim),0,0645,Vegetarian  + tea,0,1130,Vegetarian  + cordial,0,1715,Muslim - Special Menu + cordial,0,0705,Out-ration (Non-Muslim) ,0,1100,Out-ration (Vegetarian) ,0,1730,Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,0720,Muslim - Bread / Bread Spreads / Fruit / Ice cream + coffee,0,1250,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1730,Vegetarian  + cordial,0,0645,Muslim - Set A  + coffee,0,1145,Canteen Drinks & Snacks + cordial,0,1850,Out-ration (Vegetarian) ,t5x,29/October/2001
aDUj8mpDIrm9rJizrXx1pSle,170124/0946,AfpZZZGYgo,t6x,m,0,others,84249391,Kaki Bukit,2,4,4,12,170124,yes,no,130124,400,38.8,yes,4,yes,8,Red,yes,yes,yes,no,no,3,yes,0,0,yes,no,0,Did not consume,0735,Non-Muslim - Set A  + tea,0,1115,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1835,Canteen Drinks & Snacks + ice water,0.0,0750,Non-Muslim - Set B + tea,0.0,1115,Out-ration (Vegetarian) ,0,1835,Muslim - Set A  + cordial,0,0630,Canteen Food - Muslim  + tea,0,1205,Vegetarian  + cordial,0,1820,Out-ration (Vegetarian) ,0,0600,Canteen Drinks & Snacks + coffee,0,1205,Muslim - Special Menu + ice water,0,1850,Vegetarian  + ice water,0,0600,Non-Muslim - Set B + coffee,0,1235,Did not consume cookhouse / canteen / out-ration,0,1700,Canteen Food - Non-Muslim + cordial,0,0600,Out-ration (Non-Muslim) ,0,1235,Muslim - Set A  + cordial,0,1730,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,0645,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + coffee,0,1100,Out-ration (Muslim),0,1835,Muslim - Set B + cordial,0,0615,Muslim - Set A  + coffee,0,1235,Muslim - Special Menu + cordial,0,1700,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,t6x,11/January/1999
OOLrO0POIZsV4G5vFTsNn3pY,170124/0907,ZnGSlHbJCL,t7x,f,0,others,86876481,Chua Chu Kang,2,4,1,14,160124,no,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Blk 123,0720,Out-ration (Non-Muslim) ,0,1250,Non-Muslim - Set A  + cordial,0,1805,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0.0,0615,Muslim - Special Menu + coffee,0.0,1100,Out-ration (Non-Muslim) ,0,1715,Canteen Food - Non-Muslim + ice water,0,0645,Out-ration (Vegetarian) ,0,1100,Did not consume cookhouse / canteen / out-ration,0,1730,Vegetarian  + cordial,0,0645,Outside food/drinks (includes take-outs and home food) + coffee,0,1130,Muslim - Set A  + ice water,0,1820,Non-Muslim - Set B + ice water,0,0630,Out-ration (Non-Muslim) ,0,1250,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1715,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,0720,Non-Muslim - Special Menu + tea,0,1250,Out-ration (Vegetarian) ,0,1850,Outside food/drinks (includes take-outs and home food) + ice water,0,0645,Canteen Drinks & Snacks + tea,0,1220,Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1850,Out-ration (Vegetarian) ,0,0735,Non-Muslim - Special Menu + tea,0,1235,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,1700,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,t7x,18/June/2001
pPUKjik84Apky9lm7kTAtAsz,170124/0927,PkNPUKZbQC,t8x,m,0,chinese,83198425,Maju,2,2,1,10,170124,no,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Blk 456,0630,Non-Muslim - Set B + coffee,0,1145,Non-Muslim - Special Menu + cordial,0,1850,Muslim - Set B + cordial,0.0,0630,Out-ration (Muslim),0.0,1130,Muslim - Special Menu + ice water,0,1700,Did not consume cookhouse / canteen / out-ration,0,0645,Out-ration (Vegetarian) ,0,1130,Muslim - Set B + ice water,0,1805,Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,0735,Non-Muslim - Set B + tea,0,1205,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1820,Non-Muslim - Set A  + ice water,0,0735,Out-ration (Vegetarian) ,0,1235,Non-Muslim - Set B + cordial,0,1820,Vegetarian  + ice water,0,0750,Muslim - Set A  + coffee,0,1145,Canteen Food - Non-Muslim + ice water,0,1715,Canteen Drinks & Snacks + ice water,0,0750,Muslim - Set A  + ice water,0,1145,Muslim - Set A  + cordial,0,1805,Non-Muslim - Set A  + cordial,0,0600,Did not consume cookhouse / canteen / out-ration,0,1205,Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1730,Out-ration (Muslim),t8x,29/December/2002
f7Oij5L1aKgE24XDWwgCKES8,160124/1457,lmnbxoeZqp,t9x,m,0,indian,81495641,Sembawang,2,3,4,8,170124,no,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Blk 456,0630,Non-Muslim - Special Menu + tea,0,1100,Non-Muslim - Set A  + cordial,0,1850,Did not consume cookhouse / canteen / out-ration,0.0,0615,Out-ration (Muslim),0.0,1220,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1715,Out-ration (Muslim),0,0615,Out-ration (Muslim),0,1145,Vegetarian  + cordial,0,1730,Muslim - Special Menu + cordial,0,0750,Canteen Food - Non-Muslim + tea,0,1115,Out-ration (Muslim),0,1700,Out-ration (Non-Muslim) ,0,0705,Outside food/drinks (includes take-outs and home food) + coffee,0,1250,Muslim - Special Menu + cordial,0,1700,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + cordial,0,0720,Canteen Food - Muslim  + tea,0,1235,Out-ration (Non-Muslim) ,0,1730,Muslim - Set B + ice water,0,0630,Canteen Food - Muslim  + tea,0,1250,Non-Muslim - Set B + cordial,0,1700,Canteen Drinks & Snacks + cordial,0,0705,Non-Muslim - Set A  + coffee,0,1130,Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream + ice water,0,1835,Out-ration (Muslim),t9x,29/September/2000
